"Place","Geo","Total Population, 1960","Total Population, 1970","Total Population, 1980","Total Population, 1990","Total Population, 2000"
"Buckfield town, Oxford County, Maine","Town","982","929","1,333","1,566","1,723"
"Byron town, Oxford County, Maine","Town","108","132","114","111","121"
"Canton town, Oxford County, Maine","Town","728","742","831","951","1,121"
"Denmark town, Oxford County, Maine","Town","376","397","672","855","1,004"
"Dixfield town, Oxford County, Maine","Town","2,323","2,188","2,389","2,574","2,514"
"Fryeburg town, Oxford County, Maine","Town","1,874","2,208","2,715","2,968","3,083"
"Gilead town, Oxford County, Maine","Town","136","153","191","204","156"
"Greenwood town, Oxford County, Maine","Town","601","610","653","689","802"
"Hanover town, Oxford County, Maine","Town","240","275","256","272","251"
"Hartford town, Oxford County, Maine","Town","325","312","480","722","963"
"Hebron town, Oxford County, Maine","Town","465","532","665","878","1,053"
"Hiram town, Oxford County, Maine","Town","699","686","1,067","1,260","1,423"
"Lincoln plantation,Oxford County, Maine","Town","99","60","50","38","46"
"Lovell town, Oxford County, Maine","Town","588","607","767","888","974"
"Magalloway plantation,Oxford County, Maine","Town","50","75","79","45","37"
"Mexico town, Oxford County, Maine","Town","5,043","4,309","3,698","3,344","2,959"
"Milton UT,Oxford County, Maine","Town","0","138","123","128","123"
"Newry town, Oxford County, Maine","Town","260","208","235","316","344"
"North Oxford UT,Oxford County, Maine","Town","0","9","37","11","17"
"Norway town, Oxford County, Maine","Town","3,733","3,595","4,042","4,754","4,611"
"Otisfield town, Oxford County, Maine","Town","549","589","897","1,136","1,560"
"Oxford town, Oxford County, Maine","Town","1,658","1,892","3,143","3,705","3,960"
"Paris town, Oxford County, Maine","Town","3,601","3,739","4,168","4,492","4,793"
"Peru town, Oxford County, Maine","Town","1,229","1,345","1,564","1,541","1,515"
"Porter town, Oxford County, Maine","Town","975","1,115","1,222","1,301","1,438"
"Roxbury town, Oxford County, Maine","Town","344","271","373","437","384"
"Rumford town, Oxford County, Maine","Town","10,005","9,363","8,240","7,078","6,472"
"South Oxford UT,Oxford County, Maine","Town","0","184","348","455","515"
"Stoneham town, Oxford County, Maine","Town","182","160","204","224","255"
"Stow town, Oxford County, Maine","Town","108","100","186","283","288"
"Sumner town, Oxford County, Maine","Town","481","525","613","761","854"
"Sweden town, Oxford County, Maine","Town","119","110","163","222","324"
"Upton town, Oxford County, Maine","Town","35","54","65","70","62"
"Waterford town, Oxford County, Maine","Town","834","760","951","1,299","1,455"
"West Paris town, Oxford County, Maine","Town","1,050","1,171","1,390","1,514","1,722"
"Woodstock town, Oxford County, Maine","Town","930","1,005","1,087","1,194","1,307"
"Alton town, Penobscot County, Maine","Town","303","340","468","771","816"
"Argyle UT,Penobscot County, Maine","Town","128","155","225","202","253"
"Bangor city, Penobscot County, Maine","Town","38,912","33,168","31,643","33,181","31,473"
"Bradford town, Penobscot County, Maine","Town","690","569","888","1,103","1,186"
"Bradley town, Penobscot County, Maine","Town","951","1,010","1,149","1,136","1,242"
"Brewer city, Penobscot County, Maine","Town","9,009","9,300","9,017","9,021","8,987"
"Burlington town, Penobscot County, Maine","Town","353","266","322","360","351"
"Carmel town, Penobscot County, Maine","Town","1,206","1,301","1,695","1,906","2,416"
"Carroll plantation,Penobscot County, Maine","Town","147","132","175","0","144"
"Charleston town, Penobscot County, Maine","Town","750","909","1,037","1,187","1,397"
"Chester town, Penobscot County, Maine","Town","261","255","434","442","525"
"Clifton town, Penobscot County, Maine","Town","227","233","462","607","743"
"Corinna town, Penobscot County, Maine","Town","1,895","1,700","1,887","2,196","2,145"
"Corinth town, Penobscot County, Maine","Town","1,138","1,212","1,711","2,177","2,511"
"Dexter town, Penobscot County, Maine","Town","3,951","3,725","4,286","4,419","3,890"
"Dixmont town, Penobscot County, Maine","Town","551","559","812","1,007","1,065"
"Drew plantation,Penobscot County, Maine","Town","43","32","57","43","57"
"East Central Penobscot UT,Penobscot County, Maine","Town","0","0","0","12","324"
"East Millinocket town, Penobscot County, Maine","Town","2,392","2,567","2,372","2,166","1,828"
"Eddington town, Penobscot County, Maine","Town","958","1,358","1,769","1,947","2,052"
"Edinburg town, Penobscot County, Maine","Town","19","67","126","107","98"
"Enfield town, Penobscot County, Maine","Town","1,098","1,148","1,397","1,476","1,616"
"Etna town, Penobscot County, Maine","Town","486","526","758","977","1,012"
"Exeter town, Penobscot County, Maine","Town","707","663","823","937","997"
"Garland town, Penobscot County, Maine","Town","568","596","718","1,064","990"
"Glenburn town, Penobscot County, Maine","Town","965","1,196","2,319","3,198","3,964"
"Greenbush town, Penobscot County, Maine","Town","565","591","1,064","1,309","1,421"
"Hampden town, Penobscot County, Maine","Town","4,583","4,693","5,250","5,974","6,327"
"Hermon town, Penobscot County, Maine","Town","2,087","2,376","3,170","3,755","4,437"
"Holden town, Penobscot County, Maine","Town","1,375","1,841","2,554","2,952","2,827"
"Howland town, Penobscot County, Maine","Town","1,362","1,468","1,602","1,435","1,362"
"Hudson town, Penobscot County, Maine","Town","542","482","797","1,048","1,393"
"Kenduskeag town, Penobscot County, Maine","Town","584","733","1,210","1,234","1,171"
"Kingman UT,Penobscot County, Maine","Town","0","264","281","246","213"
"Lagrange town, Penobscot County, Maine","Town","424","393","509","557","747"
"Lakeville town, Penobscot County, Maine","Town","21","15","32","45","63"
"Lee town, Penobscot County, Maine","Town","555","599","688","832","845"
"Levant town, Penobscot County, Maine","Town","765","802","1,117","1,627","2,171"
"Lincoln town, Penobscot County, Maine","Town","4,541","4,759","5,066","5,587","5,221"
"Lowell town, Penobscot County, Maine","Town","132","154","194","267","291"
"Mattawamkeag town, Penobscot County, Maine","Town","945","988","1,000","830","825"
"Maxfield town, Penobscot County, Maine","Town","39","24","64","86","87"
"Medway town, Penobscot County, Maine","Town","1,266","1,491","1,871","1,922","1,489"
"Milford town, Penobscot County, Maine","Town","1,572","1,828","2,160","2,884","2,950"
"Millinocket town, Penobscot County, Maine","Town","7,453","7,742","7,567","6,956","5,203"
"Mount Chase town, Penobscot County, Maine","Town","179","197","233","254","247"
"Newburgh town, Penobscot County, Maine","Town","636","835","1,228","1,317","1,394"
"Newport town, Penobscot County, Maine","Town","2,322","2,260","2,755","3,036","3,017"
"North Penobscot UT,Penobscot County, Maine","Town","0","175","246","403","443"
"Old Town city, Penobscot County, Maine","Town","8,626","9,057","8,422","8,317","8,130"
"Orono town, Penobscot County, Maine","Town","8,341","9,989","10,578","10,573","9,112"
"Orrington town, Penobscot County, Maine","Town","2,539","2,702","3,244","3,309","3,526"
"Passadumkeag town, Penobscot County, Maine","Town","355","326","430","428","441"
"Patten town, Penobscot County, Maine","Town","1,312","1,266","1,368","1,256","1,111"
"Penobscot Indian Island Reservation,Penobscot County, Maine","Town","383","317","458","476","562"
"Plymouth town, Penobscot County, Maine","Town","494","542","811","1,152","1,257"
"Prentiss UT,Penobscot County, Maine","Town","227","159","205","245","214"
"Seboeis plantation,Penobscot County, Maine","Town","77","63","53","40","41"
"Springfield town, Penobscot County, Maine","Town","426","336","443","406","379"
"Stacyville town, Penobscot County, Maine","Town","673","547","554","480","405"
"Stetson town, Penobscot County, Maine","Town","420","395","618","847","981"
"Twombly UT,Penobscot County, Maine","Town","0","0","0","0","2"
"Veazie town, Penobscot County, Maine","Town","1,354","1,556","1,610","1,633","1,744"
"Webster plantation,Penobscot County, Maine","Town","79","56","82","95","82"
"Whitney UT,Penobscot County, Maine","Town","0","0","0","0","0"
"Winn town, Penobscot County, Maine","Town","526","516","503","479","420"
"Woodville town, Penobscot County, Maine","Town","49","62","226","215","286"
"Abbot town, Piscataquis County, Maine","Town","404","453","576","677","630"
"Atkinson town, Piscataquis County, Maine","Town","280","213","306","332","323"
"Beaver Cove town, Piscataquis County, Maine","Town","0","0","56","104","91"
"Blanchard UT,Piscataquis County, Maine","Town","57","56","64","78","83"
"Bowerbank town, Piscataquis County, Maine","Town","17","29","27","72","123"
"Brownville town, Piscataquis County, Maine","Town","1,641","1,490","1,545","1,506","1,259"
"Dover-Foxcroft town, Piscataquis County, Maine","Town","4,173","4,178","4,323","4,657","4,211"
"Greenville town, Piscataquis County, Maine","Town","2,025","1,894","1,839","1,884","1,623"
"Guilford town, Piscataquis County, Maine","Town","1,880","1,694","1,793","1,710","1,531"
"Kingsbury plantation,Piscataquis County, Maine","Town","8","7","4","13","9"
"Lake View plantation,Piscataquis County, Maine","Town","18","16","20","23","43"
"Medford town, Piscataquis County, Maine","Town","0","146","163","194","231"
"Milo town, Piscataquis County, Maine","Town","2,756","2,572","2,624","2,600","2,383"
"Monson town, Piscataquis County, Maine","Town","852","669","804","744","666"
"Northeast Piscataquis UT,Piscataquis County, Maine","Town","0","0","132","218","347"
"Northwest Piscataquis UT,Piscataquis County, Maine","Town","0","0","99","141","159"
"Parkman town, Piscataquis County, Maine","Town","530","457","621","790","811"
"Sangerville town, Piscataquis County, Maine","Town","1,157","1,107","1,219","1,398","1,270"
"Sebec town, Piscataquis County, Maine","Town","384","325","469","554","612"
"Shirley town, Piscataquis County, Maine","Town","214","174","242","271","183"
"Southeast Piscataquis UT,Piscataquis County, Maine","Town","0","156","183","247","254"
"Wellington town, Piscataquis County, Maine","Town","231","232","287","270","258"
"Willimantic town, Piscataquis County, Maine","Town","137","126","164","170","135"
"Arrowsic town, Sagadahoc County, Maine","Town","177","188","305","498","477"
"Bath city, Sagadahoc County, Maine","Town","10,717","9,679","10,246","9,799","9,266"
"Bowdoin town, Sagadahoc County, Maine","Town","668","858","1,629","2,207","2,727"
"Bowdoinham town, Sagadahoc County, Maine","Town","1,131","1,294","1,828","2,192","2,612"
"Georgetown town, Sagadahoc County, Maine","Town","490","464","735","914","1,020"
"Perkins UT,Sagadahoc County, Maine","Town","0","0","0","0","0"
"Phippsburg town, Sagadahoc County, Maine","Town","1,121","1,229","1,527","1,815","2,106"
"Richmond town, Sagadahoc County, Maine","Town","2,185","2,168","2,627","3,072","3,298"
"Topsham town, Sagadahoc County, Maine","Town","3,717","5,022","6,431","8,746","9,100"
"West Bath town, Sagadahoc County, Maine","Town","766","836","1,309","1,716","1,798"
"Woolwich town, Sagadahoc County, Maine","Town","1,417","1,710","2,156","2,570","2,810"
"Anson town, Somerset County, Maine","Town","2,252","2,168","2,226","2,382","2,583"
"Athens town, Somerset County, Maine","Town","602","592","802","897","847"
"Bingham town, Somerset County, Maine","Town","1,308","1,254","1,184","1,230","989"
"Brighton plantation,Somerset County, Maine","Town","62","58","74","94","86"
"Cambridge town, Somerset County, Maine","Town","354","281","445","490","492"
"Canaan town, Somerset County, Maine","Town","800","904","1,189","1,636","2,017"
"Caratunk town, Somerset County, Maine","Town","90","96","84","98","108"
"Central Somerset UT,Somerset County, Maine","Town","0","216","278","289","336"
"Cornville town, Somerset County, Maine","Town","585","623","838","1,008","1,208"
"Dennistown plantation,Somerset County, Maine","Town","17","48","30","32","30"
"Detroit town, Somerset County, Maine","Town","564","663","744","751","816"
"Embden town, Somerset County, Maine","Town","321","418","536","659","881"
"Fairfield town, Somerset County, Maine","Town","5,829","5,684","6,113","6,718","6,573"
"Harmony town, Somerset County, Maine","Town","712","650","755","838","954"
"Hartland town, Somerset County, Maine","Town","1,447","1,414","1,669","1,806","1,816"
"Highland plantation,Somerset County, Maine","Town","46","23","60","38","52"
"Jackman town, Somerset County, Maine","Town","984","848","1,003","920","718"
"Madison town, Somerset County, Maine","Town","3,935","4,278","4,367","4,725","4,523"
"Mercer town, Somerset County, Maine","Town","272","313","448","593","647"
"Moose River town, Somerset County, Maine","Town","205","255","252","233","219"
"Moscow town, Somerset County, Maine","Town","559","586","570","608","577"
"New Portland town, Somerset County, Maine","Town","620","559","651","789","785"
"Norridgewock town, Somerset County, Maine","Town","1,634","1,964","2,552","3,105","3,294"
"Northeast Somerset UT,Somerset County, Maine","Town","0","0","301","377","354"
"Northwest Somerset UT,Somerset County, Maine","Town","0","0","15","8","46"
"Palmyra town, Somerset County, Maine","Town","1,009","1,104","1,485","1,867","1,953"
"Pittsfield town, Somerset County, Maine","Town","4,010","4,274","4,125","4,190","4,214"
"Pleasant Ridge plantation,Somerset County, Maine","Town","108","116","99","91","83"
"Ripley town, Somerset County, Maine","Town","317","297","439","445","452"
"St. Albans town, Somerset County, Maine","Town","927","1,041","1,400","1,724","1,836"
"Seboomook Lake UT,Somerset County, Maine","Town","0","0","37","19","45"
"Skowhegan town, Somerset County, Maine","Town","7,661","7,601","8,098","8,725","8,824"
"Smithfield town, Somerset County, Maine","Town","382","527","748","865","930"
"Solon town, Somerset County, Maine","Town","669","712","827","916","940"
"Starks town, Somerset County, Maine","Town","306","323","440","508","578"
"The Forks plantation,Somerset County, Maine","Town","53","45","72","30","35"
"West Forks plantation,Somerset County, Maine","Town","93","74","72","63","47"
"Belfast city, Waldo County, Maine","Town","6,140","5,957","6,243","6,355","6,381"
"Belmont town, Waldo County, Maine","Town","295","349","520","652","821"
"Brooks town, Waldo County, Maine","Town","758","751","804","900","1,022"
"Burnham town, Waldo County, Maine","Town","755","802","951","961","1,142"
"Frankfort town, Waldo County, Maine","Town","692","620","783","1,020","1,041"
"Freedom town, Waldo County, Maine","Town","406","373","458","593","645"
"Islesboro town, Waldo County, Maine","Town","444","421","521","579","603"
"Jackson town, Waldo County, Maine","Town","220","217","346","415","506"
"Knox town, Waldo County, Maine","Town","439","443","558","681","747"
"Liberty town, Waldo County, Maine","Town","458","515","694","790","927"
"Lincolnville town, Waldo County, Maine","Town","867","955","1,414","1,809","2,042"
"Monroe town, Waldo County, Maine","Town","497","478","657","802","882"
"Montville town, Waldo County, Maine","Town","366","430","631","877","1,002"
"Morrill town, Waldo County, Maine","Town","355","410","506","644","774"
"Northport town, Waldo County, Maine","Town","658","755","958","1,201","1,331"
"Palermo town, Waldo County, Maine","Town","528","645","760","1,021","1,220"
"Prospect town, Waldo County, Maine","Town","412","358","511","542","642"
"Searsmont town, Waldo County, Maine","Town","628","624","482","938","1,174"
"Searsport town, Waldo County, Maine","Town","1,838","1,951","2,309","2,602","2,641"
"Stockton Springs town, Waldo County, Maine","Town","980","1,142","1,230","1,385","1,481"
"Swanville town, Waldo County, Maine","Town","514","487","873","1,130","1,357"
"Thorndike town, Waldo County, Maine","Town","457","439","603","702","712"
"Troy town, Waldo County, Maine","Town","469","543","701","802","963"
"Unity town, Waldo County, Maine","Town","983","1,280","1,431","1,817","1,889"
"Waldo town, Waldo County, Maine","Town","395","431","495","626","733"
"Winterport town, Waldo County, Maine","Town","2,088","1,963","2,675","3,175","3,602"
"Addison town, Washington County, Maine","Town","744","773","1,061","1,114","1,209"
"Alexander town, Washington County, Maine","Town","220","169","385","478","514"
"Baileyville town, Washington County, Maine","Town","1,863","2,167","2,188","2,031","1,686"
"Baring plantation,Washington County, Maine","Town","0","181","308","275","273"
"Beals town, Washington County, Maine","Town","640","663","695","667","618"
"Beddington town, Washington County, Maine","Town","14","32","36","43","29"
"Calais city, Washington County, Maine","Town","4,223","4,044","4,262","3,963","3,447"
"Centerville town, Washington County, Maine","Town","47","19","28","30","26"
"Charlotte town, Washington County, Maine","Town","260","199","300","271","324"
"Cherryfield town, Washington County, Maine","Town","780","771","983","1,183","1,157"
"Codyville plantation,Washington County, Maine","Town","38","45","43","35","19"
"Columbia town, Washington County, Maine","Town","219","162","275","437","459"
"Columbia Falls town, Washington County, Maine","Town","442","367","517","552","599"
"Cooper town, Washington County, Maine","Town","106","88","105","124","145"
"Crawford town, Washington County, Maine","Town","83","74","86","89","108"
"Cutler town, Washington County, Maine","Town","654","588","726","779","623"
"Danforth town, Washington County, Maine","Town","821","794","826","710","629"
"Deblois town, Washington County, Maine","Town","26","20","44","73","49"
"Dennysville town, Washington County, Maine","Town","303","278","296","355","319"
"East Central Washington UT,Washington County, Maine","Town","0","498","625","661","768"
"East Machias town, Washington County, Maine","Town","1,198","1,057","1,233","1,218","1,298"
"Eastport city, Washington County, Maine","Town","2,537","1,989","1,982","1,965","1,640"
"Grand Lake Stream plantation,Washington County, Maine","Town","219","186","198","174","150"
"Harrington town, Washington County, Maine","Town","717","553","859","893","882"
"Jonesboro town, Washington County, Maine","Town","428","448","553","585","594"
"Jonesport town, Washington County, Maine","Town","1,563","1,326","1,512","1,525","1,408"
"Lubec town, Washington County, Maine","Town","2,684","1,949","2,045","1,853","1,652"
"Machias town, Washington County, Maine","Town","2,614","2,441","2,458","2,569","2,353"
"Machiasport town, Washington County, Maine","Town","980","887","1,108","1,166","1,160"
"Marshfield town, Washington County, Maine","Town","267","227","416","461","494"
"Meddybemps town, Washington County, Maine","Town","86","76","110","133","150"
"Milbridge town, Washington County, Maine","Town","1,101","1,154","1,306","1,305","1,279"
"Northfield town, Washington County, Maine","Town","79","57","88","99","131"
"North Washington UT,Washington County, Maine","Town","0","500","393","496","547"
"Passamaquoddy Indian Township Reservation,Washington County, Maine","Town","330","293","423","617","676"
"Passamaquoddy Pleasant Point Reservation,Washington County, Maine","Town","0","307","549","572","640"
"Pembroke town, Washington County, Maine","Town","871","700","920","852","879"
"Perry town, Washington County, Maine","Town","564","878","737","758","847"
"Princeton town, Washington County, Maine","Town","829","956","994","973","892"
"Robbinston town, Washington County, Maine","Town","476","396","492","495","525"
"Roque Bluffs town, Washington County, Maine","Town","152","153","244","234","264"
"Steuben town, Washington County, Maine","Town","673","697","970","1,084","1,126"
"Talmadge town, Washington County, Maine","Town","58","25","40","62","70"
"Topsfield town, Washington County, Maine","Town","0","177","240","235","225"
"Vanceboro town, Washington County, Maine","Town","389","263","256","201","147"
"Waite town, Washington County, Maine","Town","73","70","130","119","105"
"Wesley town, Washington County, Maine","Town","145","110","140","146","114"
"Whiting town, Washington County, Maine","Town","339","269","335","407","430"
"Whitneyville town, Washington County, Maine","Town","229","155","264","241","262"
"Acton town, York County, Maine","Town","501","697","1,228","1,727","2,145"
"Alfred town, York County, Maine","Town","1,201","1,211","1,890","2,238","2,497"
"Arundel town, York County, Maine","Town","907","1,322","2,150","2,669","3,571"
"Berwick town, York County, Maine","Town","2,738","3,136","4,149","5,995","6,353"
"Biddeford city, York County, Maine","Town","19,255","19,983","19,638","20,710","20,942"
"Buxton town, York County, Maine","Town","2,339","3,135","5,775","6,494","7,452"
"Cornish town, York County, Maine","Town","816","839","1,047","1,178","1,269"
"Dayton town, York County, Maine","Town","451","546","882","1,197","1,805"
"Eliot town, York County, Maine","Town","3,133","3,497","4,948","5,329","5,954"
"Hollis town, York County, Maine","Town","1,195","1,560","2,892","3,573","4,114"
"Kennebunk town, York County, Maine","Town","4,551","5,646","6,621","8,004","10,476"
"Kennebunkport town, York County, Maine","Town","1,851","2,160","2,952","3,356","3,720"
"Kittery town, York County, Maine","Town","10,689","11,028","9,314","9,372","9,543"
"Lebanon town, York County, Maine","Town","1,534","1,983","3,234","4,263","5,083"
"Limerick town, York County, Maine","Town","907","963","1,356","1,688","2,240"
"Limington town, York County, Maine","Town","839","1,066","2,203","2,796","3,403"
"Lyman town, York County, Maine","Town","529","864","2,509","3,390","3,795"
"Newfield town, York County, Maine","Town","319","458","644","1,042","1,328"
"North Berwick town, York County, Maine","Town","1,844","2,224","2,878","3,793","4,293"
"Ogunquit town, York County, Maine","Town","0","944","1,492","974","1,226"
"Old Orchard Beach town, York County, Maine","Town","4,580","5,404","6,291","7,789","8,856"
"Parsonsfield town, York County, Maine","Town","869","971","1,089","1,472","1,584"
"Saco city, York County, Maine","Town","10,515","11,678","12,921","15,181","16,822"
"Sanford town, York County, Maine","Town","14,962","15,812","18,020","20,463","20,806"
"Shapleigh town, York County, Maine","Town","515","559","1,370","1,911","2,326"
"South Berwick town, York County, Maine","Town","3,112","3,488","4,046","5,877","6,671"
"Waterboro town, York County, Maine","Town","1,059","1,208","2,943","4,510","6,214"
"Wells town, York County, Maine","Town","3,528","4,448","8,211","7,778","9,400"
"York town, York County, Maine","Town","4,663","5,690","8,465","9,818","12,854"
